iter	MultiClass
0	1.046091129
1	1.000133868
2	0.9548741971
3	0.9155672268
4	0.8776079221
5	0.8448414948
6	0.8140914455
7	0.7852322879
8	0.7566334185
9	0.7327643203
10	0.7104065573
11	0.6889988545
12	0.6691653318
13	0.6501645416
14	0.6337531373
15	0.6173277526
16	0.6002619674
17	0.5840010904
18	0.5707275932
19	0.555753411
20	0.5425559752
21	0.5293726441
22	0.5166770666
23	0.5048895586
24	0.4936502397
25	0.4830526266
26	0.4729336117
27	0.4639128112
28	0.4546133844
29	0.4454304806
30	0.4378537938
31	0.4300006724
32	0.4229830865
33	0.4147736279
34	0.4084738355
35	0.4013575762
36	0.3951440433
37	0.3883943877
38	0.3820108063
39	0.3768432562
40	0.3716944744
41	0.3659729828
42	0.3605337575
43	0.3551832681
44	0.3497212139
45	0.344766842
46	0.3402816054
47	0.33678006
48	0.3333920763
49	0.3287652703
50	0.3243180722
51	0.3203438397
52	0.3163272341
53	0.3128004077
54	0.3100170685
55	0.3065183088
56	0.3022157853
57	0.299303691
58	0.2960124695
59	0.2925811419
60	0.28983521
61	0.2868414364
62	0.2843229634
63	0.2813623479
64	0.2783158124
65	0.2760873909
66	0.2733669429
67	0.2712463585
68	0.2683431519
69	0.2662071516
70	0.2639759037
71	0.2617672821
72	0.260028388
73	0.2578524068
74	0.2560225713
75	0.2537818687
76	0.2520600731
77	0.2499355082
78	0.2484799484
79	0.2465437699
80	0.2445478579
81	0.2426037419
82	0.2409123724
83	0.2387202876
84	0.2370828185
85	0.2357553981
86	0.2341843177
87	0.2327024804
88	0.231020639
89	0.2294638114
90	0.2277775626
91	0.2263680069
92	0.2252398636
93	0.2239649965
94	0.2228021629
95	0.2216505641
96	0.2201992878
97	0.2188055393
98	0.217559701
99	0.2165736699
100	0.2155397653
101	0.2146373526
102	0.2130867087
103	0.2121352046
104	0.2114541322
105	0.2105544612
106	0.2093710527
107	0.2085137071
108	0.2076994921
109	0.2068858987
110	0.2059693176
111	0.2049204833
112	0.2039879448
113	0.2030764109
114	0.2022952468
115	0.2013142352
116	0.2006057865
117	0.1997934613
118	0.1987877825
119	0.1979676966
120	0.1970067898
121	0.1962173587
122	0.1952348976
123	0.1944588584
124	0.1935324449
125	0.192883248
126	0.1923642223
127	0.1916140452
128	0.1909257075
129	0.1902456057
130	0.1894766463
131	0.1886423736
132	0.1878445301
133	0.1870368803
134	0.1864304011
135	0.1856672976
136	0.1852190231
137	0.1845634689
138	0.1839313726
139	0.1833658747
140	0.1826697651
141	0.1818940074
142	0.1812258868
143	0.1806577817
144	0.1801835127
145	0.179435403
146	0.1790429295
147	0.1784173929
148	0.1776953678
149	0.1772774724
150	0.1767289343
151	0.1763781599
152	0.1757495922
153	0.1752479534
154	0.174643282
155	0.174050957
156	0.1736721088
157	0.1731653255
158	0.1727390692
159	0.1722967164
160	0.1717275332
161	0.1712698745
162	0.1708201133
163	0.1702564261
164	0.1697834216
165	0.1690376165
166	0.1686262396
167	0.1681533708
168	0.1678039756
169	0.1674362345
170	0.1669989811
171	0.1664807712
172	0.166011025
173	0.1654338639
174	0.1651310292
175	0.1646649194
176	0.1643059252
177	0.1638104855
178	0.1633822749
179	0.1628511387
180	0.1624382956
181	0.1619888067
182	0.1615260533
183	0.1611034396
184	0.1607296777
185	0.1603639148
186	0.1600516742
187	0.1597405521
188	0.159261192
189	0.1589768272
190	0.1586178113
191	0.158046246
192	0.1576481422
193	0.1572116362
194	0.1566273612
195	0.1562733365
196	0.1560073731
197	0.155656539
198	0.1553596194
199	0.1549739466
200	0.1545705678
201	0.1542404053
202	0.1537869318
203	0.1534931392
204	0.1531235107
205	0.1528186166
206	0.1524756965
207	0.1521396635
208	0.1516931885
209	0.1513618238
210	0.1510662372
211	0.1506327369
212	0.1503581003
213	0.1500437919
214	0.1497093216
215	0.1494599843
216	0.1489935084
217	0.1487015271
218	0.1483827749
219	0.1481137075
220	0.1477254669
221	0.147419924
222	0.1471352949
223	0.1468769555
224	0.1465043998
225	0.1462424881
226	0.1458949041
227	0.1455685842
228	0.1451889839
229	0.14494143
230	0.1447102466
231	0.1443867913
232	0.144095174
233	0.1437364213
234	0.1435748915
235	0.1433597394
236	0.1431757649
237	0.1428554837
238	0.1426369811
239	0.142294669
240	0.1420756661
241	0.1418402938
242	0.1416607719
243	0.1412761907
244	0.1410818073
245	0.1407463573
246	0.1404063146
247	0.140086146
248	0.1398005286
249	0.1394541432
250	0.1392725294
251	0.1389851323
252	0.1387036833
253	0.1383646105
254	0.1381423844
255	0.1378333258
256	0.1375134547
257	0.1373075879
258	0.1371107986
259	0.1369113692
260	0.1366516894
261	0.1363612706
262	0.1360949087
263	0.1357318769
264	0.1355143728
265	0.1352776894
266	0.1350624784
267	0.1347794281
268	0.1345617123
269	0.1342267304
270	0.1340160183
271	0.1337842557
272	0.1334933441
273	0.1332633128
274	0.1330681715
275	0.1328112477
276	0.1325660387
277	0.1322963568
278	0.1319882391
279	0.1318174562
280	0.1316668748
281	0.131438081
282	0.13120647
283	0.1309390567
284	0.1305818941
285	0.1303412678
286	0.1301020859
287	0.1298109519
288	0.1296191858
289	0.1294483924
290	0.1291990824
291	0.1289858715
292	0.1287981707
293	0.1285726615
294	0.1283563937
295	0.1280862484
296	0.1279276536
297	0.1277996622
298	0.127602375
299	0.1274876213
