iter	Passed	Remaining
0	251	75335
1	304	45324
2	359	35623
3	429	31784
4	515	30431
5	607	29770
6	671	28117
7	734	26796
8	804	26014
9	851	24679
10	896	23556
11	935	22460
12	978	21603
13	1017	20785
14	1053	20016
15	1093	19410
16	1132	18858
17	1172	18365
18	1209	17885
19	1251	17526
20	1290	17148
21	1328	16788
22	1374	16557
23	1417	16306
24	1461	16080
25	1503	15843
26	1540	15573
27	1597	15515
28	1653	15447
29	1819	16374
30	1875	16274
31	1919	16078
32	1958	15849
33	1998	15638
34	2037	15423
35	2075	15218
36	2114	15032
37	2156	14867
38	2192	14670
39	2238	14547
40	2279	14402
41	2319	14249
42	2360	14105
43	2395	13940
44	2437	13810
45	2476	13673
46	2512	13526
47	2551	13394
48	2588	13257
49	2629	13147
50	2676	13065
51	2716	12954
52	2757	12850
53	2797	12745
54	2841	12656
55	2882	12558
56	2925	12473
57	2976	12419
58	3014	12312
59	3055	12222
60	3095	12126
61	3132	12024
62	3173	11936
63	3210	11839
64	3247	11740
65	3286	11653
66	3326	11569
67	3363	11475
68	3406	11403
69	3443	11313
70	3482	11232
71	3520	11147
72	3557	11062
73	3596	10985
74	3636	10910
75	3676	10836
76	3720	10776
77	3761	10706
78	3802	10637
79	3841	10565
80	3878	10486
81	3920	10421
82	3961	10358
83	4016	10328
84	4071	10297
85	4116	10243
86	4164	10194
87	4291	10337
88	4359	10336
89	4406	10281
90	4451	10223
91	4493	10160
92	4542	10109
93	4586	10051
94	4632	9996
95	4682	9949
96	4735	9910
97	4780	9854
98	4823	9794
99	4873	9746
100	4917	9688
101	4958	9626
102	5005	9572
103	5046	9511
104	5090	9454
105	5135	9398
106	5192	9366
107	5246	9326
108	5292	9274
109	5336	9217
110	5378	9158
111	5417	9093
112	5455	9028
113	5494	8964
114	5536	8905
115	5573	8840
116	5616	8785
117	5653	8720
118	5696	8664
119	5736	8604
120	5775	8544
121	5815	8485
122	5858	8430
123	5895	8367
124	5936	8310
125	5974	8250
126	6012	8190
127	6049	8128
128	6086	8067
129	6122	8006
130	6162	7949
131	6212	7907
132	6272	7875
133	6322	7832
134	6368	7783
135	6500	7838
136	6558	7803
137	6603	7751
138	6639	7690
139	6678	7632
140	6724	7583
141	6768	7531
142	6810	7477
143	6848	7419
144	6888	7363
145	6928	7308
146	6963	7247
147	7003	7192
148	7044	7139
149	7080	7080
150	7120	7026
151	7155	6967
152	7195	6913
153	7235	6860
154	7273	6804
155	7317	6754
156	7355	6699
157	7402	6652
158	7446	6603
159	7484	6548
160	7533	6503
161	7574	6452
162	7610	6396
163	7652	6346
164	7693	6294
165	7733	6242
166	7773	6190
167	7813	6139
168	7852	6086
169	7889	6033
170	7928	5981
171	7965	5927
172	8003	5875
173	8042	5824
174	8082	5773
175	8124	5724
176	8163	5673
177	8203	5622
178	8249	5576
179	8291	5527
180	8330	5477
181	8370	5426
182	8416	5380
183	8483	5348
184	8533	5304
185	8582	5260
186	8724	5272
187	8787	5234
188	8826	5184
189	8862	5130
190	8902	5080
191	8942	5030
192	8979	4978
193	9017	4927
194	9055	4875
195	9096	4826
196	9136	4776
197	9173	4725
198	9210	4674
199	9251	4625
200	9291	4576
201	9331	4527
202	9368	4476
203	9409	4427
204	9450	4379
205	9494	4332
206	9537	4285
207	9589	4241
208	9632	4193
209	9671	4144
210	9713	4097
211	9763	4052
212	9808	4006
213	9847	3957
214	9885	3908
215	9921	3858
216	9962	3810
217	9998	3760
218	10039	3713
219	10079	3665
220	10117	3616
221	10157	3568
222	10194	3520
223	10233	3471
224	10274	3424
225	10313	3376
226	10351	3328
227	10392	3281
228	10430	3233
229	10466	3185
230	10504	3137
231	10545	3091
232	10594	3046
233	10653	3004
234	10809	2989
235	10871	2948
236	10913	2901
237	10952	2853
238	10988	2804
239	11027	2756
240	11062	2708
241	11100	2660
242	11136	2612
243	11170	2563
244	11211	2516
245	11258	2471
246	11297	2424
247	11335	2376
248	11374	2329
249	11413	2282
250	11449	2235
251	11488	2188
252	11530	2142
253	11575	2096
254	11610	2048
255	11647	2001
256	11688	1955
257	11735	1910
258	11778	1864
259	11825	1819
260	11864	1772
261	11904	1726
262	11945	1680
263	11993	1635
264	12028	1588
265	12069	1542
266	12105	1496
267	12142	1449
268	12180	1403
269	12229	1358
270	12264	1312
271	12305	1266
272	12347	1221
273	12384	1175
274	12420	1129
275	12460	1083
276	12504	1038
277	12546	992
278	12583	947
279	12618	901
280	12657	855
281	12698	810
282	12740	765
283	12795	720
284	12852	676
285	12901	631
286	12945	586
287	13076	544
288	13134	499
289	13168	454
290	13207	408
291	13243	362
292	13283	317
293	13323	271
294	13362	226
295	13399	181
296	13437	135
297	13474	90
298	13511	45
299	13549	0
